,NAME,Experiment,Source,Treatment,Time,Block,pH,"EC
(us/cm)","TOC
(mg/L)","TN
(mg/L)","Sodium
(ppm)","Lithium
(ppm)","Ammonium
(ppm)","Potassium
(ppm)","Magnesium
(ppm)","Calcium
(ppm)","Flouride
(ppm)","Chloride
(ppm)","Nitrite
(ppm)","Bromide
(ppm)","Nitrate
(ppm)","Sulfate
(ppm)","Phosphate
(ppm)",FlowerDW,BudDW,ShootDW,RootDW,TotalShoot,RootTOShoot
L37,L37,Bacteria,peat based media,Bacteria,8DR,1,,,,,,,,,,,,,,,,,,,,,,,
L38,L38,Bacteria,peat based media,Control,8DR,1,,,,,,,,,,,,,,,,,,,,,,,
L40,L40,Bacteria,peat based media,Control,4W,1,,,,,,,,,,,,,,,,,,,,,,,
L41,L41,Bacteria,peat based media,Bacteria,4W,1,,,,,,,,,,,,,,,,,,,,,,,
L44,L44,Bacteria,peat based media,Control,8W,1,,,,,,,,,,,,,,,,,,,,,,,
L46,L46,Bacteria,peat based media,Bacteria,8W,1,,,,,,,,,,,,,,,,,,,,,,,
L48,L48,Bacteria,peat based media,Control,8W,2,,,,,,,,,,,,,,,,,,,,,,,
L51,L51,Bacteria,peat based media,Control,4W,2,,,,,,,,,,,,,,,,,,,,,,,
L52,L52,Bacteria,peat based media,Bacteria,8W,2,,,,,,,,,,,,,,,,,,,,,,,
L53,L53,Bacteria,peat based media,Bacteria,4W,2,,,,,,,,,,,,,,,,,,,,,,,
L54,L54,Bacteria,peat based media,Control,8DR,2,,,,,,,,,,,,,,,,,,,,,,,
L55,L55,Bacteria,peat based media,Bacteria,8DR,2,,,,,,,,,,,,,,,,,,,,,,,
L57,L57,Bacteria,peat based media,Bacteria,8W,3,,,,,,,,,,,,,,,,,,,,,,,
L58,L58,Bacteria,peat based media,Bacteria,8DR,3,,,,,,,,,,,,,,,,,,,,,,,
L59,L59,Bacteria,peat based media,Control,4W,3,,,,,,,,,,,,,,,,,,,,,,,
L61,L61,Bacteria,peat based media,Bacteria,4W,3,,,,,,,,,,,,,,,,,,,,,,,
L62,L62,Bacteria,peat based media,Control,8DR,3,,,,,,,,,,,,,,,,,,,,,,,
L65,L65,Bacteria,peat based media,Control,8W,3,,,,,,,,,,,,,,,,,,,,,,,
L69,L69,Bacteria,peat based media,Bacteria,8W,4,,,,,,,,,,,,,,,,,,,,,,,
L70,L70,Bacteria,peat based media,Control,4W,4,,,,,,,,,,,,,,,,,,,,,,,
L71,L71,Bacteria,peat based media,Bacteria,4W,4,,,,,,,,,,,,,,,,,,,,,,,
L72,L72,Bacteria,peat based media,Control,8W,4,,,,,,,,,,,,,,,,,,,,,,,
L73,L73,Bacteria,peat based media,Bacteria,8DR,4,,,,,,,,,,,,,,,,,,,,,,,
L75,L75,Bacteria,peat based media,Control,8DR,4,,,,,,,,,,,,,,,,,,,,,,,
L77,L77,Bacteria,peat based media,Bacteria,8W,5,,,,,,,,,,,,,,,,,,,,,,,
L78,L78,Bacteria,peat based media,Control,8DR,5,,,,,,,,,,,,,,,,,,,,,,,
L79,L79,Bacteria,peat based media,Bacteria,8DR,5,,,,,,,,,,,,,,,,,,,,,,,
L80,L80,Bacteria,peat based media,Control,4W,5,,,,,,,,,,,,,,,,,,,,,,,
L81,L81,Bacteria,peat based media,Bacteria,4W,5,,,,,,,,,,,,,,,,,,,,,,,
L83,L83,Bacteria,peat based media,Control,8W,5,,,,,,,,,,,,,,,,,,,,,,,
L88,L88,Bacteria,peat based media,Bacteria,4W,6,,,,,,,,,,,,,,,,,,,,,,,
L90,L90,Bacteria,peat based media,Control,8DR,6,,,,,,,,,,,,,,,,,,,,,,,
L92,L92,Bacteria,peat based media,Control,4W,6,,,,,,,,,,,,,,,,,,,,,,,
L94,L94,Bacteria,peat based media,Control,8W,6,,,,,,,,,,,,,,,,,,,,,,,
L95,L95,Bacteria,peat based media,Bacteria,8W,6,,,,,,,,,,,,,,,,,,,,,,,
L96,L96,Bacteria,peat based media,Bacteria,8DR,6,,,,,,,,,,,,,,,,,,,,,,,
LP2,LP2,Bacteria,community standard,community standard,community standard,community standard,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,Fertilizer,peat based media,100,2,1,6.692,360.3,59.57,27.14,0.36,9.96,n.a.,53.03,9.69,44.49,0.69,4.23,n.a.,n.a.,123.01,2.13,14.66,1.587,0.6,12.221,2.306,14.408,0.160049972
L2,L2,Fertilizer,peat based media,100,1,1,6.129,988.4,130.5,84.57,n.a.,n.a.,n.a.,21.26,n.a.,38.02,1.19,4.85,n.a.,n.a.,407.61,60.1,30.96,,,2.145,0.456,2.145,0.212587413
L3,L3,Fertilizer,peat based media,200,1,1,6.303,1089,73.96,107.4,n.a.,n.a.,n.a.,37.68,n.a.,34.81,0.94,2.92,n.a.,n.a.,498.63,22.06,50.6,,,1.937,0.367,1.937,0.18946825
L4,L4,Fertilizer,peat based media,25,2,1,7.292,168.4,100.1,3.12,0.36,11.81,n.a.,15.37,8.1,52.53,0.73,4.9,n.a.,n.a.,0.57,4.68,0.44,1.609,0.445,9.827,2.762,11.881,0.232472014
L5,L5,Fertilizer,peat based media,200,2,1,6.609,529.4,59.62,44.05,0.36,17.51,n.a.,69.02,12.08,55.2,0.64,8.72,n.a.,n.a.,202.47,2.15,27.01,1.558,0.703,12.88,3.22,15.141,0.212667591
L6,L6,Fertilizer,peat based media,25,1,1,6.841,2029,107,13.92,n.a.,n.a.,n.a.,n.a.,n.a.,1.17,1.17,3.15,n.a.,n.a.,57.42,49.43,8.62,,,2.143,0.493,2.143,0.23005133
L7,L7,Fertilizer,peat based media,25,1,2,6.393,349.1,128.7,19.28,n.a.,n.a.,n.a.,n.a.,n.a.,8.27,1.23,3,n.a.,n.a.,82.17,65.12,13.16,,,2.136,0.343,2.136,0.160580524
L8,L8,Fertilizer,peat based media,25,2,2,7.337,128.8,76.99,3.03,0.36,10.6,n.a.,12.24,7.44,45.12,0.67,4.56,n.a.,n.a.,1.34,2.28,0.56,1.796,0.448,10.11,2.213,12.354,0.179132265
L9,L9,Fertilizer,peat based media,200,2,2,7.036,435.6,79.8,38.74,0.36,21.44,n.a.,67.91,11.3,50.08,0.77,13.3,n.a.,0.25,171.01,3.84,23.51,1.126,0.6,16.54,3.165,18.266,0.173272747
L10,L10,Fertilizer,peat based media,200,1,2,6.231,919.5,103.9,136.7,n.a.,n.a.,n.a.,45.02,1.85,59.88,1.14,5.96,n.a.,n.a.,641.09,55.91,54.04,,,2.035,0.459,2.035,0.225552826
L11,L11,Fertilizer,peat based media,100,2,2,6.885,342.4,82.62,28.89,0.36,13.35,n.a.,46.36,11.3,52.68,0.74,5.55,n.a.,n.a.,128.13,1.91,0.38,1.748,0.929,14.072,2.097,16.749,0.125201505
L12,L12,Fertilizer,peat based media,100,1,2,6.387,1102,96.8,96.31,n.a.,0.09,n.a.,23.41,n.a.,42.05,1.21,6.42,n.a.,n.a.,449.08,73.86,34.15,,,1.41,0.321,1.41,0.227659574
L13,L13,Fertilizer,peat based media,200,2,3,6.715,417.4,58.1,37.35,0.36,15.75,n.a.,62.8,10.85,49.93,0.67,6.74,n.a.,n.a.,170.79,2.48,24,1.575,0.64,12.342,2.381,14.557,0.163563921
L14,L14,Fertilizer,peat based media,100,2,3,6.913,307.3,53.25,27.25,0.36,10.02,n.a.,39.11,10.49,49.34,0.58,3.82,n.a.,n.a.,125.55,1.47,8.25,1.475,0.627,13.12,2.19,15.222,0.143870713
L15,L15,Fertilizer,peat based media,25,2,3,7.365,117.2,69.51,3.14,0.36,10.47,n.a.,12.94,7.31,41.28,0.69,4.09,n.a.,n.a.,1.39,3.12,0.38,2.099,0.533,8.853,2.109,11.485,0.183630823
L16,L16,Fertilizer,peat based media,100,1,3,6.441,830.2,83.94,74.64,n.a.,n.a.,n.a.,16.54,n.a.,15.09,0.95,2.91,n.a.,n.a.,378.67,33.7,29.24,,,2.239,0.433,2.239,0.193389906
L17,L17,Fertilizer,peat based media,200,1,3,6.369,1018,98.01,92.45,n.a.,0.04,n.a.,23.21,n.a.,37.93,1.19,6,n.a.,n.a.,440.29,51.54,35.87,,,2.182,0.416,2.182,0.190650779
